generation,delta_mean,wasserstein_mean
0,0.563766248447109,0.017148909222104932
1,0.7619176244625584,0.02736077570099914
2,0.9518552191836864,0.04354466140769185
3,1.090917578394141,0.056009949954398744
4,1.2283102541442534,0.062487757031329264
5,1.3188529002229186,0.06839270156281607
6,1.447847189956289,0.08455283000615871
7,1.5745832706107878,0.10757529260036902
8,1.6727437780112127,0.1224633664957677
9,1.7236078468778657,0.12417465574051549
10,1.7666611219518444,0.13104115215306256
11,1.8191933469835497,0.13623666012118923
12,1.9129580490701756,0.14520316113207427
13,2.041109558757461,0.15797121762836436
14,2.1042568293498047,0.16451372087575872
15,2.1817701581179003,0.18270904283361827
16,2.2794002767064696,0.19447372747735142
17,2.3539356092971393,0.19957870115247095
18,2.4690581635946507,0.21849100140165328
19,2.5570710096393867,0.22730297191113608
20,2.60672012839177,0.23612820941049067
