generation,delta_norm_mean,delta_norm_std,mse_mean,mse_std
0,0.6471555275526162,0.048624097083859376,0.01483811078778929,0.0025717296491313945
1,0.8795819498643022,0.08894017011531397,0.029080267415397952,0.007190980043242775
2,1.081712930398743,0.11400991667744326,0.041819098285762926,0.007626846065539827
3,1.2403759626556927,0.16907039040211175,0.053460849386813815,0.009058037179323443
4,1.4164027631146012,0.25818179495326077,0.06811634605819501,0.018580856252725944
5,1.5419494757313537,0.2219366951340466,0.08408316915312194,0.021858584866308844
6,1.5842379163008384,0.229355434322439,0.09565881763888119,0.025903102455929188
7,1.69779425732959,0.2249572159010286,0.10501503590399845,0.018961569900086777
8,1.812638493139587,0.27102709068617425,0.12141319433012247,0.026618033484719666
9,1.9355078028403536,0.3186210372030189,0.14173296351452117,0.02983021733767116
10,2.0319537492384194,0.3388054297060935,0.1577109406113124,0.037625790314178585
11,2.131337018860232,0.43096082148103,0.17410643443265061,0.050708340999847085
12,2.200137544402391,0.39184651534944653,0.1847025922627597,0.045698795948681266
13,2.3380435363416754,0.34720343247049573,0.20885714314210882,0.04444862354118869
14,2.3433589134756647,0.33607549467478565,0.2052923491298282,0.041870945245600526
15,2.416219710720439,0.3532342547930124,0.22185382622001065,0.05142135334892955
16,2.4802252847508925,0.35156339736708947,0.23763589116503975,0.05274703663720743
17,2.5195857800640407,0.2681952148017685,0.25168567298163586,0.03944678823329351
18,2.572912416073407,0.31892617864351464,0.2636386502101204,0.04707450107653284
19,2.689415448794654,0.2835505784588119,0.2881155269575294,0.043827460408189814
20,2.688584987075128,0.27359300618402177,0.28813710791322367,0.05027905885278604
